id,product_affiliate_id,product_code,product_status,product_site_name,product_site_estoque,product_site_ean,product_site_fabricacao,product_site_description,product_site_categories,product_site_tags,product_site_variations,product_site_info,product_site_nutrition,product_site_value,product_site_discount_value,product_site_discount_type,product_sell_by_weight,product_average_weight_value,product_average_weight_type,product_site_related_title,product_site_related_type,product_site_related_code,createdAt,updatedAt
2160,99,43,inactive,"CREME CULINARIO 12X01KG-HULALA",0,,TERCEIRO,NULL,"CONFEITARIA,ALIMENTICIOS,BASES",NULL,NULL,NULL,NULL,149.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2161,99,44,inactive,"CREME CULINARIO 27X200GR-HULALA",0,,TERCEIRO,NULL,"CONFEITARIA,ALIMENTICIOS,BASES",NULL,NULL,NULL,NULL,72.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2162,99,45,inactive,"COPO 200ML BRANCO (ABNT 2012) C/100UN-COPOSUL",3,7896424100043,TERCEIRO,NULL,"DESCARTAVEIS,COPOS,COPOS",NULL,NULL,NULL,NULL,6.59,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2163,99,46,inactive,"COPO 300ML TRANSPARENTE ABNT C/2000UN-COPAZA",-2.05,17896979501606,TERCEIRO,NULL,"DESCARTAVEIS,COPOS,COPOS",NULL,NULL,NULL,NULL,200.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2164,99,48,inactive,"SACOLA CRISTAL 30X40CM-KG",32,,PRÓPRIA,NULL,"EMBALAGENS,SACOS E SACOLAS PLASTICAS,SACOS E SACOLAS PLASTICAS",NULL,NULL,NULL,NULL,22.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,KG,NULL,NULL,NULL,NULL,NULL
2165,99,50,inactive,"ACUCAR CONFEITEIRO C/1KG-MIX",-15,7897011502080,TERCEIRO,NULL,"CONFEITARIA,ALIMENTICIOS,BASES",NULL,NULL,NULL,NULL,10.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,KG,NULL,NULL,NULL,NULL,NULL
2166,99,51,inactive,"BALAO METALIZADO REDONDO N.20 AZUL BABY UN-FUNNY FASHION",15,7898402210829,TERCEIRO,NULL,"FESTA,BALOES E BEXIGAS,BALOES E BEXIGAS",NULL,NULL,NULL,NULL,12.19,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2167,99,52,inactive,"COPO 180ML TRANSPARENTE (ABNT 2012) C/100UN-CRISTALCOPO",0,7898939720068,TERCEIRO,NULL,"DESCARTAVEIS,COPOS,COPOS",NULL,NULL,NULL,NULL,3.59,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2168,99,53,inactive,"DOCIGOMA MINI CORACAO SORTIDO 18GR-DOCILE",-27,,TERCEIRO,NULL,"ALIMENTICIOS,DOCES,DOCES",NULL,NULL,NULL,NULL,0.69,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2169,99,54,inactive,"PAINEL 126X88CM MARIE NEW UN-REGINA",0,7891175239202,TERCEIRO,NULL,"FESTA,TEMAS,MARIE",NULL,NULL,NULL,NULL,55.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
